fecha_hora,fecha_objetivo,unidad,real,prediccion,modelo,ventana
2025-03-16 19:15:00,2025-03-16 19:30:00,G1,9.49555,10.51008,Línea base de persistencia,4
2025-03-16 19:15:00,2025-03-16 19:30:00,G2,12.394428,12.463102,Línea base de persistencia,4
2025-03-16 19:30:00,2025-03-16 19:45:00,G1,9.81814,9.49555,Línea base de persistencia,4
2025-03-16 19:30:00,2025-03-16 19:45:00,G2,12.312665,12.394428,Línea base de persistencia,4
2025-03-16 19:45:00,2025-03-16 20:00:00,G1,10.093005,9.81814,Línea base de persistencia,4
2025-03-16 19:45:00,2025-03-16 20:00:00,G2,12.189903,12.312665,Línea base de persistencia,4
2025-03-16 20:00:00,2025-03-16 20:15:00,G1,10.473815,10.093005,Línea base de persistencia,4
2025-03-16 20:00:00,2025-03-16 20:15:00,G2,12.226078,12.189903,Línea base de persistencia,4
2025-03-16 20:15:00,2025-03-16 20:30:00,G1,10.561428,10.473815,Línea base de persistencia,4
2025-03-16 20:15:00,2025-03-16 20:30:00,G2,12.325645,12.226078,Línea base de persistencia,4
2025-03-16 20:30:00,2025-03-16 20:45:00,G1,9.937217,10.561428,Línea base de persistencia,4
2025-03-16 20:30:00,2025-03-16 20:45:00,G2,12.460465,12.325645,Línea base de persistencia,4
2025-03-16 20:45:00,2025-03-16 21:00:00,G1,10.140178,9.937217,Línea base de persistencia,4
2025-03-16 20:45:00,2025-03-16 21:00:00,G2,12.334582,12.460465,Línea base de persistencia,4
2025-03-16 21:00:00,2025-03-16 21:15:00,G1,10.142928,10.140178,Línea base de persistencia,4
2025-03-16 21:00:00,2025-03-16 21:15:00,G2,12.351408,12.334582,Línea base de persistencia,4
2025-03-16 21:15:00,2025-03-16 21:30:00,G1,10.062268,10.142928,Línea base de persistencia,4
2025-03-16 21:15:00,2025-03-16 21:30:00,G2,12.36688,12.351408,Línea base de persistencia,4
2025-03-16 21:30:00,2025-03-16 21:45:00,G1,10.08077,10.062268,Línea base de persistencia,4
2025-03-16 21:30:00,2025-03-16 21:45:00,G2,12.321953,12.36688,Línea base de persistencia,4
2025-03-16 21:45:00,2025-03-16 22:00:00,G1,10.158045,10.08077,Línea base de persistencia,4
2025-03-16 21:45:00,2025-03-16 22:00:00,G2,12.388758,12.321953,Línea base de persistencia,4
2025-03-16 22:00:00,2025-03-16 22:15:00,G1,9.92075,10.158045,Línea base de persistencia,4
2025-03-16 22:00:00,2025-03-16 22:15:00,G2,12.385675,12.388758,Línea base de persistencia,4
2025-03-16 22:15:00,2025-03-16 22:30:00,G1,10.149285,9.92075,Línea base de persistencia,4
2025-03-16 22:15:00,2025-03-16 22:30:00,G2,12.412612,12.385675,Línea base de persistencia,4
2025-03-16 22:30:00,2025-03-16 22:45:00,G1,9.605847,10.149285,Línea base de persistencia,4
2025-03-16 22:30:00,2025-03-16 22:45:00,G2,11.999797,12.412612,Línea base de persistencia,4
2025-03-16 22:45:00,2025-03-16 23:00:00,G1,10.335205,9.605847,Línea base de persistencia,4
2025-03-16 22:45:00,2025-03-16 23:00:00,G2,12.170615,11.999797,Línea base de persistencia,4
2025-03-16 23:00:00,2025-03-17 18:00:00,G1,10.566342,10.335205,Línea base de persistencia,4
2025-03-16 23:00:00,2025-03-17 18:00:00,G2,12.03862,12.170615,Línea base de persistencia,4
2025-03-17 18:00:00,2025-03-17 18:15:00,G1,10.510623,10.566342,Línea base de persistencia,4
2025-03-17 18:00:00,2025-03-17 18:15:00,G2,12.100392,12.03862,Línea base de persistencia,4
2025-03-17 18:15:00,2025-03-17 18:30:00,G1,10.367653,10.510623,Línea base de persistencia,4
2025-03-17 18:15:00,2025-03-17 18:30:00,G2,12.308772,12.100392,Línea base de persistencia,4
2025-03-17 18:30:00,2025-03-17 18:45:00,G1,10.52292,10.367653,Línea base de persistencia,4
2025-03-17 18:30:00,2025-03-17 18:45:00,G2,12.552763,12.308772,Línea base de persistencia,4
2025-03-17 18:45:00,2025-03-17 19:00:00,G1,10.208535,10.52292,Línea base de persistencia,4
2025-03-17 18:45:00,2025-03-17 19:00:00,G2,12.358142,12.552763,Línea base de persistencia,4
2025-03-17 19:00:00,2025-03-17 19:15:00,G1,10.29934,10.208535,Línea base de persistencia,4
2025-03-17 19:00:00,2025-03-17 19:15:00,G2,12.556405,12.358142,Línea base de persistencia,4
2025-03-17 19:15:00,2025-03-17 19:30:00,G1,10.15633,10.29934,Línea base de persistencia,4
2025-03-17 19:15:00,2025-03-17 19:30:00,G2,12.538555,12.556405,Línea base de persistencia,4
2025-03-17 19:30:00,2025-03-17 19:45:00,G1,10.357917,10.15633,Línea base de persistencia,4
2025-03-17 19:30:00,2025-03-17 19:45:00,G2,12.552648,12.538555,Línea base de persistencia,4
2025-03-17 19:45:00,2025-03-17 20:00:00,G1,10.199098,10.357917,Línea base de persistencia,4
2025-03-17 19:45:00,2025-03-17 20:00:00,G2,12.645095,12.552648,Línea base de persistencia,4
2025-03-17 20:00:00,2025-03-17 20:15:00,G1,10.202402,10.199098,Línea base de persistencia,4
2025-03-17 20:00:00,2025-03-17 20:15:00,G2,12.62752,12.645095,Línea base de persistencia,4
2025-03-17 20:15:00,2025-03-17 20:30:00,G1,10.20358,10.202402,Línea base de persistencia,4
2025-03-17 20:15:00,2025-03-17 20:30:00,G2,12.600302,12.62752,Línea base de persistencia,4
2025-03-17 20:30:00,2025-03-17 20:45:00,G1,10.20391,10.20358,Línea base de persistencia,4
2025-03-17 20:30:00,2025-03-17 20:45:00,G2,12.617205,12.600302,Línea base de persistencia,4
2025-03-17 20:45:00,2025-03-17 21:00:00,G1,10.251352,10.20391,Línea base de persistencia,4
2025-03-17 20:45:00,2025-03-17 21:00:00,G2,12.500497,12.617205,Línea base de persistencia,4
2025-03-17 21:00:00,2025-03-17 21:15:00,G1,10.201095,10.251352,Línea base de persistencia,4
2025-03-17 21:00:00,2025-03-17 21:15:00,G2,12.519465,12.500497,Línea base de persistencia,4
2025-03-17 21:15:00,2025-03-17 21:30:00,G1,10.236572,10.201095,Línea base de persistencia,4
